root_quantity,quantity_taxonomic,property_taxonomic,quantity_id,quantity_label,property_type,property_role,property_quantification,process_quantity,condition,attribute,synonym,plural_of,wikipedia_page,L,M,O,T,I,N,lumens,radian,number,currency,unitless_ratio,notes
acceleration,acceleration,,gravitational_acceleration,gravitational_acceleration,,,,,,gravitational,,,https://en.wikipedia.org/wiki/Gravitational_acceleration,,,,,,,,,,,,
acceleration,gravitational_acceleration,,standard_gravitational_acceleration,standard_gravitational_acceleration,,,,,,standard,standard_gravity,,http://en.wikipedia.org/wiki/Standard_gravity,,,,,,,,,,,,
activity-per-mass_radioactivity,activity-per-mass_radioactivity,,gross_activity-per-mass_radioactivity,gross_activity-per-mass_radioactivity,,,,,,,,,,,,,,,,,,,,,
activity-per-volume_radioactivity,activity-per-volume_radioactivity,,gross_activity-per-volume_radioactivity,gross_activity-per-volume_radioactivity,,,,,,,,,,,,,,,,,,,,,
aerodynamic_conductance,aerodynamic_conductance,,bulk_aerodynamic_conductance,bulk_aerodynamic_conductance,,,,,,,,,,,,,,,,,,,,,
aerodynamic_conductance,aerodynamic_conductance,,heat_aerodynamic_conductance,heat_aerodynamic_conductance,,,,,,,,,,,,,,,,,,,,,
aerodynamic_conductance,aerodynamic_conductance,,mass_aerodynamic_conductance,mass_aerodynamic_conductance,,,,,,,,,,,,,,,,,,,,,
aerodynamic_conductance,aerodynamic_conductance,,momentum_aerodynamic_conductance,momentum_aerodynamic_conductance,,,,,,,,,,,,,,,,,,,,,
aerodynamic_conductance,heat_aerodynamic_conductance,,latent_heat_aerodynamic_conductance,latent_heat_aerodynamic_conductance,,,,,,,,,,,,,,,,,,,,,
aerodynamic_conductance,heat_aerodynamic_conductance,,sensible_heat_aerodynamic_conductance,sensible_heat_aerodynamic_conductance,,,,,,,,,,,,,,,,,,,,,
aerodynamic_conductance,latent_heat_aerodynamic_conductance,,bulk_latent_heat_aerodynamic_conductance,bulk_latent_heat_aerodynamic_conductance,,,,,,,,,,,,,,,,,,,,,
aerodynamic_conductance,mass_aerodynamic_conductance,,bulk_mass_aerodynamic_conductance,bulk_mass_aerodynamic_conductance,,,,,,,,,,,,,,,,,,,,,
aerodynamic_conductance,momentum_aerodynamic_conductance,,bulk_momentum_aerodynamic_conductance,bulk_momentum_aerodynamic_conductance,,,,,,,,,,,,,,,,,,,,,
aerodynamic_conductance,sensible_heat_aerodynamic_conductance,,bulk_sensible_heat_aerodynamic_conductance,bulk_sensible_heat_aerodynamic_conductance,,,,,,,,,,,,,,,,,,,,,
age,age,,deposition_age,deposition_age,,,,process_age,,,,,,,,,,,,,,,,,
albedo,albedo,,black-sky_albedo,black-sky_albedo,,,,,condition_albedo,black-sky,,,,,,,,,,,,,,,
albedo,albedo,,blue-sky_albedo,blue-sky_albedo,,,,,condition_albedo,blue-sky,,,,,,,,,,,,,,,
albedo,albedo,,bond_albedo,bond_albedo,,,,,,,,,,,,,,,,,,,,,
albedo,albedo,,geometric_albedo,geometric_albedo,,,,,,geometric,,,,,,,,,,,,,,,
albedo,albedo,,white-sky_albedo,white-sky_albedo,,,,,condition_albedo,white-sky,,,,,,,,,,,,,,,
albedo,geometric_albedo,,visual_geometric_albedo,visual_geometric_albedo,,,,,,visual,,,,,,,,,,,,,,,
altitude,altitude,,initial_altitude,initial_altitude,,,,,,initial,,,,,,,,,,,,,,,
amount-per-volume_capacity,amount-per-volume_capacity,,acid-neutralizing_amount-per-volume_capacity,acid-neutralizing_amount-per-volume_capacity,,,,,,,,,,,,,,,,,,,,,
angle,angle,,actual_angle,actual_angle,,,,,,actual,,,,,,,,,,,,,,,
angle,angle,,approach_angle,approach_angle,,,,process_angle,,,,,,,,,,,,,,,,,
angle,angle,,aspect_angle,aspect_angle,,,,,,,,,,,,,,,,,,,,,
angle,angle,,azimuth_angle,azimuth_angle,,,,,,,,,,,,,,,,,,,,,
angle,angle,,solar_azimuth_angle,solar_azimuth_angle,,,,,,solar,,,https://en.wikipedia.org/wiki/Solar_azimuth_angle,,,,,,,,,,,,
angle,angle,,breakover_angle,breakover_angle,,,,process_angle,,,,,,,,,,,,,,,,,
angle,angle,,camber_angle,camber_angle,,,,,,,castor_angle,,,,,,,,,,,,,,
angle,angle,,caster_angle,caster_angle,,,,,,,,,,,,,,,,,,,,,
angle,angle,,declination_angle,declination_angle,,,,,,,,,,,,,,,,,,,,,
angle,angle,,departure_angle,departure_angle,,,,process_angle,,,,,,,,,,,,,,,,,
angle,angle,,dilation_angle,dilation_angle,,,,process_angle,,,,,,,,,,,,,,,,,
angle,angle,,dip_angle,dip_angle,,,,,,,,,,,,,,,,,,,,,
angle,angle,,elevation_angle,elevation_angle,,,,,,,,,,,,,,,,,,,,,
angle,angle,,flare_angle,flare_angle,,,,,,,,,,,,,,,,,,,,,
angle,angle,,friction_angle,friction_angle,,,,process_angle,,,,,,,,,,,,,,,,,
angle,angle,,ideal_angle,ideal_angle,,,,,,ideal,,,,,,,,,,,,,,,
angle,angle,,incidence_angle,incidence_angle,,,,,,,,,,,,,,,,,,,,,
angle,angle,,inclination_angle,inclination_angle,,,,,,,,,,,,,,,,,,,,,
angle,angle,,opening_angle,opening_angle,,,,process_angle,,,,,,,,,,,,,,,,,
angle,angle,,phase_angle,phase_angle,,,,,,,,,,,,,,,,,,,,,
angle,angle,,rake_angle,rake_angle,,,,,,,,,,,,,,,,,,,,,
angle,angle,,refraction_angle,refraction_angle,,,,process_angle,,,,,,,,,,,,,,,,,
angle,angle,,repose_angle,repose_angle,,,,,,,,,,,,,,,,,,,,,
angle,angle,,rotation_angle,rotation_angle,,,,process_angle,,,,,,,,,,,,,,,,,
angle,angle,,seismic_slip_angle,seismic_slip_angle,,,,seismic_process_angle,,seismic,,,,,,,,,,,,,,,
angle,angle,,seismic_slip-rake_angle,seismic_slip-rake_angle,,,,seismic_process_angle,,seismic,,,,,,,,,,,,,,,
angle,angle,,slope_angle,slope_angle,,,,,,,,,,,,,,,,,,,,,
angle,angle,,strike_angle,strike_angle,,,,process_angle,,,,,,,,,,,,,,,,,
angle,angle,,subtended_angle,subtended_angle,,,,,,,,,https://en.wikipedia.org/wiki/Subtended_angle,,,,,,,,,,,,
angle,angle,,takeoff_angle,takeoff_angle,,,,process_angle,,,,,,,,,,,,,,,,,
angle,angle,,tilt_angle,tilt_angle,,,,,,,,,,,,,,,,,,,,,
angle,angle,,torsion_angle,torsion_angle,,,,,,,dihedral_angle,,https://en.wikipedia.org/wiki/Dihedral_angle,,,,,,,,,,,,
angle,angle,,zenith_angle,zenith_angle,,,,,,,,,,,,,,,,,,,,,
angle,elevation_angle,,solar_elevation_angle,solar_elevation_angle,,,,,,solar,,,https://en.wikipedia.org/wiki/Solar_zenith_angle,,,,,,,,,,,,
angle,zenith_angle,,solar_zenith_angle,solar_zenith_angle,,,,,,solar,,,https://en.wikipedia.org/wiki/Solar_zenith_angle,,,,,,,,,,,,
angular_frequency,angular_frequency,,intrinsic_angular_frequency,intrinsic_angular_frequency,,,,,,intrinsic,,,,,,,,,,,,,,,
angular_frequency,angular_frequency,,observed_angular_frequency,observed_angular_frequency,,,,,,observed,,,,,,,,,,,,,,,
angular_momentum,angular_momentum,,initial_angular_momentum,initial_angular_momentum,,,,,,initial,,,,,,,,,,,,,,,
angular_speed,angular_speed,,rotation_angular_speed,rotation_angular_speed,,,,process_angular_speed,,,,,,,,,,,,,,,,,
area,area,,contact_area,contact_area,,,,,,,,,https://en.wikipedia.org/wiki/Contact_area,,,,,,,,,,,,
area,area,,contributing_area,contributing_area,,,,,,,,,,,,,,,,,,,,,
area,area,,rupture_area,rupture_area,,,,process_area,,,,,,,,,,,,,,,,,
area,area,,wetted_area,wetted_area,,,,,,,,,https://en.wikipedia.org/wiki/Wetted_area,,,,,,,,,,,,
area,contact_area,,asperity_contact_area,asperity_contact_area,,,,,,,,,,,,,,,,,,,,,
area,contributing_area,,d8_contributing_area,d8_contributing_area,,,,,,,,,,,,,,,,,,,,,
area,contributing_area,,d-infinity_contributing_area,d-infinity_contributing_area,,,,,,,,,,,,,,,,,,,,,
area,contributing_area,,mass-flux_contributing_area,mass-flux_contributing_area,,,,,,,,,,,,,,,,,,,,,
area,contributing_area,,specific_contributing_area,specific_contributing_area,,,,,,,,,,,,,,,,,,,,,
area_fraction,area_fraction,,coverage_area_fraction,coverage_area_fraction,,,,,,,,,,,,,,,,,,,,,
attenuation_coefficient,attenuation_coefficient,,beer-lambert-law_attenuation_coefficient,beer-lambert-law_attenuation_coefficient,,,,beer-lambert-law_process_coefficient,,,,,,,,,,,,,,,,,
,,direction,cardinal_direction,cardinal_direction,,,,,,,,,https://en.wikipedia.org/wiki/Cardinal_direction,,,,,,,,,,,,
cell-equivalents_concentration,cell-equivalents_concentration,,callibrator_cell-equivalents_concentration,callibrator_cell-equivalents_concentration,,,,,,,,,,,,,,,,,,,,,
compressibility,compressibility,,isentropic_compressibility,isentropic_compressibility,,,,,,isentropic,,,,,,,,,,,,,,,
compressibility,compressibility,,isothermal_compressibility,isothermal_compressibility,,,,,,isothermal,,,,,,,,,,,,,,,
count,count,,detection_number_count,detection_count,,,,process_number_count,,,,,,,,,,,,,,,,,
count,count,,number_count,number_count,,,,,,,,,,,,,,,,,,,,,
count,count,,step_count,step_count,,,,,,,,,,,,,,,,,,,,,
count,number_count,,mass_number_count,mass_number_count,,,,,,,,,,,,,,,,,,,,,
count,number_count,,most-probable_number_count,most-probable_number_count,,,,,,,,,https://en.wikipedia.org/wiki/Most_probable_number,,,,,,,,,,,,
count,step_count,,time_step_count,time_step_count,,,,,,,,,,,,,,,,,,,,,
count_concentration,count_concentration,,plate_count_concentration,plate_count_concentration,,,,,,,,,,,,,,,,,,,,,
count_concentration,count_concentration,,standard_plate_count_concentration,standard_plate_count_concentration,,,,,,,,,,,,,,,,,,,,,
count-per-hour_rate,count-per-hour_rate,,nonunique_count-per-hour_rate,nonunique_count-per-hour_rate,,,,,,nonunique,,,,,,,,,,,,,,,
count-per-hour_rate,count-per-hour_rate,,unique_count-per-hour_rate,unique_count-per-hour_rate,,,,,,unique,,,,,,,,,,,,,,,
count-per-mass_radioactivity,count-per-mass_radioactivity,,disintegration_count-per-mass_radioactivity,disintegration_count-per-mass_radioactivity,,,,process_count-per-mass_radioactivity,,,,,,,,,,,,,,,,,
count-per-volume_radioactivity,count-per-volume_radioactivity,,disintegration_count-per-volume_radioactivity,disintegration_count-per-volume_radioactivity,,,,process_count-per-volume_radioactivity,,,,,,,,,,,,,,,,,
curvature,curvature,,gaussian_curvature,gaussian_curvature,,,,,,,,,,,,,,,,,,,,,
curvature,curvature,,mean_curvature,mean_curvature,,,,,,,,,,,,,,,,,,,,,
curvature,curvature,,normal_curvature,normal_curvature,,,,,,,,,,,,,,,,,,,,,
curvature,curvature,,tangential_curvature,tangential_curvature,,,,,,,,,,,,,,,,,,,,,
curvature,normal_curvature,,max_normal_curvature,max_normal_curvature,,,,,,,,,,,,,,,,,,,,,
curvature,normal_curvature,,min_normal_curvature,min_normal_curvature,,,,,,,,,,,,,,,,,,,,,
depth,attenuation_depth,,50-percent_attenuation_depth,50-percent_attenuation_depth,,,,50-percent_process_depth,,,,,,,,,,,,,,,,,
depth,attenuation_depth,,99-percent_attenuation_depth,99-percent_attenuation_depth,,,,99-percent_process_depth,,,,,,,,,,,,,,,,,
depth,depth,,attenuation_depth,attenuation_depth,,,,process_depth,,,,,,,,,,,,,,,,,
depth,depth,,closure_depth,closure_depth,,,,,,,,,,,,,,,,,,,,,
depth,depth,,cutoff_depth,cutoff_depth,,,,,,,,,,,,,,,,,,,,,
depth,depth,,draft_depth,draft_depth,,,,,,,,,,,,,,,,,,,,,
depth,depth,,freeze_depth,freeze_depth,,,,process_depth,,,"frost_line, frost_depth",,https://en.wikipedia.org/wiki/Frost_line,,,,,,,,,,,,
depth,depth,,impact_depth,impact_depth,,,,process_depth,,,,,,,,,,,,,,,,,
depth,depth,,initial_depth,initial_depth,,,,,,initial,,,,,,,,,,,,,,,
depth,depth,,leq_depth,leq_depth,,,,,,,,,,,,,,,,,,,,,
